username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
Lharryvee,i-SPEAK |i-MANAGE |i-ENTERTAIN |C.E.O- VENUS MANAGEMENT GROUP |ARSENAL |BARRISTER-TO-BE |PUBLIC SPEAKER |P.R |Radio Presenter| REAL ESTATE AGENT.,"Lagos, Nigeria",1444,663,12326,2018-02-07 07:45:45,2020-10-15 12:52:03,5942,"DISRUPTING OUR PROTEST #AlausaProtest!!!
 WRONG MOVE WRONG MOVE WRONG MOVE!! you don't FIGHT FIRE with FIRE!! I REPEAT ""WRONG MOVE!!!"" #EndSWAT
72Hours!! #Anonymous","[{'text': 'AlausaProtest', 'indices': [41, 55]}]"
Tundra_Linkuei,,,662,84,837,2019-04-23 14:53:32,2020-10-15 12:52:03,824,Do you know how crazy it it that citizens are using private security to protect themselves from their own government? With all the taxes Sanwoolu has been collecting #SARSMUSTEND #EndSWAT #EndSARS https://t.co/vSn2WOK4Go,[]
nadiadzakah,sunsets are proof that endings can be pretty too 💕☺️. IG: abena_eli. SC: nadiad37,"Tema, Ghana",1590,1829,78626,2017-09-10 16:30:10,2020-10-15 12:52:03,1761,"Peaceful, without weapons. Concerned youth, NOT thugs! Stop harassing us! #EndSWAT #EndSARS #EndPoliceBrutalityinNigeria https://t.co/mEw9AKrRMp","[{'text': 'EndSWAT', 'indices': [91, 99]}, {'text': 'EndSARS', 'indices': [100, 108]}, {'text': 'EndPoliceBrutalityinNigeria', 'indices': [109, 137]}]"
Serruty,"Fresh From Above & Half Human ,Half Amazing ...||Arsenal ||April18th ||Aries♈||OluLove ||YODO Email-Seyiserruti@gmail.com","Lagos, Nigeria",2103,1154,70856,2009-12-19 06:20:17,2020-10-15 12:52:03,3413,"FCTA banning #EndSARS protests in Abuja is the latest of a litany of reasons to believe the announced reforms have yet to take off. Apparently, the FCT Minister and his team didn't observe what happened in Port Harcourt after Wike banned #EndSWAT protests in Rivers.","[{'text': 'EndSARS', 'indices': [32, 40]}]"
nana_firdaws,"Islam💖 | 🍫🏀👩‍💻💉 | Good Vibes Only🌟
#SARSMUSTEND #ENDSWAT","Lagos, Nigeria",576,875,4360,2018-06-15 01:31:30,2020-10-15 12:52:03,4339,Please stay safe! We are hearing many reports of thugs and miscreants being sent to create discord and escalate violence at protests! It's a shame that they want to force the protests to look non-peaceful but we will not fall for it! #EndSWAT #EndSARS #EndPoliceBrutalityinNigeria,[]
officialkenny22,,"Lagos, Nigeria",26,10,72,2020-07-26 20:29:12,2020-10-15 12:52:03,4292,"The FCT Security Committee has just announced a ban on all #EndSARS street demonstrations, protests, and processions anywhere in Abuja.

The Committee accused protesters of violating COVID-19 guidelines regulating public gatherings, as well as endangering their own lives. https://t.co/rhgvTEFpPq","[{'text': 'EndSARS', 'indices': [80, 88]}]"
MINISTE89908313,,,36,14,753,2020-10-14 07:03:28,2020-10-15 12:52:03,428,"Lekki #EndSARS protesters on high alert amid security breach in Alausa, Lagos. #EndSWAT #EndBadGovernanceinNIGERIA https://t.co/lGOAlKKdYZ","[{'text': 'EndSARS', 'indices': [19, 27]}, {'text': 'EndSWAT', 'indices': [92, 100]}, {'text': 'EndBadGovernanceinNIGERIA', 'indices': [101, 127]}]"
TheOnlyWB_,•Feminist•,Lagos/Canada,309,913,67201,2019-05-14 14:25:04,2020-10-15 12:52:03,1948,"It is not a coincidence that thugs showed up at all these protests today. It is not a coincidence

 #Thisiswhyweprotest #EndSWAT","[{'text': 'Thisiswhyweprotest', 'indices': [113, 132]}]"
itslaycon_page,"#Endsars 

Teamwork is the ability to work together toward a common vision",worldwide,361,3421,1309,2020-02-17 11:57:42,2020-10-15 12:52:03,3279,It's just SAD!! EMPTY PROMISES!!!  You are DISRUPTING our PROTEST #AlausaProtest and you want us to BELIEVE SARS HAS ENDED!!!!?  WE DO NOT BELIEVE YOU!! #EndSWAT #Anonymous 72Hours!! https://t.co/ZX1og3nOTH,"[{'text': 'AlausaProtest', 'indices': [84, 98]}]"
ZQabeer,Young internet marketer,Jos ,198,47,171,2018-06-19 06:27:24,2020-10-15 12:52:03,813,"They're shooting at unarmed protesters in Jos, Plateau State. Guys please RT for the world to see. @HenshawKate @DrJoeAbah @CNN @BBCWorld 

#EndSARS #EndSWAT https://t.co/4obDiiBH4b",[]
