username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
InstaCelebUk1,,,7,6,1171,2020-06-13 13:00:35,2020-10-21 09:36:15,1,"#EndBadGovernance 
#EndSars
Nigeria is a failed Nation @MBuhari has failed Nigerians https://t.co/WWOt2JdmYu","[{'text': 'EndBadGovernance', 'indices': [17, 34]}, {'text': 'EndSars', 'indices': [36, 44]}]"
alaba_dj,your party maker,,1092,237,425,2019-08-07 10:46:24,2020-10-21 09:36:15,0,In a situatuon like this that a president is supposed somthing atlist..even a snapchat video with his personal phone would have gone a long way ...at this juncture I have come to belive that @MBuhari is a Robot .#Beyonce #LagosMassacre #LekkiGenocide #EndSARS,"[{'text': 'Beyonce', 'indices': [212, 220]}, {'text': 'LagosMassacre', 'indices': [221, 235]}, {'text': 'LekkiGenocide', 'indices': [236, 250]}, {'text': 'EndSARS', 'indices': [251, 259]}]"
JBmediia,New Nigeria 🇳🇬,"Ibadan, Nigeria",1582,604,3813,2018-03-14 17:14:12,2020-10-21 09:36:15,10,"Breaking: TVC headquarters in Lagos burnt down by angry mob, transmission stopped.

#LekkiGenocide
#BlackTuesdayNigeria
#LekkiMassacre Shame
Nigerian Army Sanwo-Olu Beyonce Rihanna #unarmed #EndPoliceBrutalityinNigeraNOW https://t.co/NQZZlkiE2q","[{'text': 'LekkiGenocide', 'indices': [104, 118]}, {'text': 'BlackTuesdayNigeria', 'indices': [119, 139]}]"
Oluwafikunayome,,"Lagos, Nigeria",186,265,14948,2018-03-16 13:40:00,2020-10-21 09:36:15,5633,"ARISE TV right now. A protestor recounting yesterdays events. If he couldn’t swim, he would t be alive today. #EndSARS https://t.co/sT5rRXSydS","[{'text': 'EndSARS', 'indices': [127, 135]}]"
OhnaLFC,"God|
Liverpool FC|
CILT | Movie Freak",Gbawe🇬🇭🇬🇭🇬🇭,1469,1423,13375,2018-04-29 16:06:02,2020-10-21 09:36:15,22751,You don’t need to be Nigerian to speak out🗣 what’s currently happening is devastating! My thoughts and prayers go out to everyone affected across the world. This need to end💔 #EndSARS #EndPoliceBrutality,[]
Nana_Sarfo0,#EndPoliceBrutalityinNigeriaNOW,,4880,4682,9056,2017-08-06 13:12:11,2020-10-21 09:36:15,0,You can send snipers to kill peaceful protesters but couldn’t send them to face Boko Haram chai🙆🏾‍♂️💔💔#LekkiMassacre https://t.co/ii46Abpv5N,"[{'text': 'LekkiMassacre', 'indices': [102, 116]}]"
ogenyi_kingsley,Citizen,South Africa ,747,150,2630,2019-07-14 16:30:15,2020-10-21 09:36:15,22423,"If you're going to tell our story, please tell the truth. There was NO ""clash between Protesters and Law enforcement"". Peaceful protesters were there singing the National anthem, and military men opened fire on them, killing and injuring many.
#EndSARS #CrimesAgainstHumanity https://t.co/66gJkxxjIX",[]
Sxck18,"Pushing the creative.
Music.",,77,4,109,2020-06-05 14:05:54,2020-10-21 09:36:15,26388,I don’t know what is going on in Nigeria right now but I pray it all stops because it’s painful seeing innocent people killed daily #EndSARS,[]
beliefambrose,🎨Pencil ✏️Artist. 🎶Lover of good music..,,111,75,2477,2019-03-23 12:16:18,2020-10-21 09:36:15,75260,There is a massacre happening in Lekki. Firing squads mass murdering young people in Nigeria. The world needs to engage #endSARS,[]
O_Dola_Bee,,,146,28,841,2018-09-03 02:04:14,2020-10-21 09:36:15,5633,"ARISE TV right now. A protestor recounting yesterdays events. If he couldn’t swim, he would t be alive today. #EndSARS https://t.co/sT5rRXSydS","[{'text': 'EndSARS', 'indices': [127, 135]}]"
AMitshelle,My confidence,,301,144,27,2020-07-29 06:28:53,2020-10-21 09:36:15,2779,"don't say anything, just retweet and reply with #EndSars💔 https://t.co/6HvzRma73G","[{'text': 'EndSars', 'indices': [64, 72]}]"
Emojevwe,"Jesus Lover, Unique lady,knowledge seeker/bibliophile, computer/ICT lover,  proud Arsenal supporter and a hopeful Nigerian.",Nigeria,904,192,1916,2008-10-10 08:01:01,2020-10-21 09:36:15,2325,"You made life impossible for them and force them to jump off third mainland bridge or contemplate jumping off third mainland bridge and you think shooting them at Lekki toll gate will stop them?
You are messing up with the wrong generation 
#EndSars 
 #GenocideAtLekkiTollGate",[]
Originalfavour,The explorer,,8,30,2288,2020-10-13 22:09:40,2020-10-21 09:36:15,362,A life guard on AriseTV now talking of how he had to dive into the water at oriental hotel and swim all the way to lekki to avoid the Nigerian Army. And they still shot into the water after he dove in. He said he could count like 7 shots they shots at him. #LekkiMassacre,[]
KSenapon,A public relations and advert personnel||A football lover ||alumni lasu||#cfc,"Lagos, Nigeria",831,777,694,2017-07-21 18:38:28,2020-10-21 09:36:15,2353,"I am at LUTH and the number of people that have come to donate blood for the #EndSARS movement shows that the government doesn’t know what it’s facing. A lot of young people here are showing their support by giving their blood.

#LekkiMassacre","[{'text': 'EndSARS', 'indices': [98, 106]}]"
